Crystal_structure,temperature,N_type_carrier,Crystal_form,Direction
Bi1.999W0.001Te2.494Cl0.006Se0.5,300,153.98,1,0
Bi1.998W0.002Te2.488Cl0.012Se0.5,300,153.12,1,0
Bi1.997W0.003Te2.482Cl0.018Se0.5,300,152.66,1,0
Bi1.996W0.004Te2.476Cl0.024Se0.5,300,148.18,1,0
Bi1.995W0.005Te2.47Cl0.03Se0.5,300,123.6,1,0
Bi1.994W0.006Te2.464Cl0.036Se0.5,300,111.34,1,0
Bi1.993W0.007Te2.458Cl0.042Se0.5,300,107.15,1,0
Bi2Te3,25,252.45,1,0
Bi2Te3,50,214.03,1,0
Bi2Te3,75,175.57,1,0
Bi2Te3,100,137.15,1,0
Bi2Te3,125,109.29,1,0
Bi2Te3,150,85.68,1,0
Bi2Te3,175,74.93,1,0
Bi2Te3,200,66.26,1,0
Bi2Te3,225,57.53,1,0
Bi2Te3,250,50.99,1,0
Bi2Te3,275,46.53,1,0
Bi2Te3,300,39.99,1,0
Bi1.95Co0.05Te3,25,630.61,1,0
Bi1.95Co0.05Te3,50,558.19,1,0
Bi1.95Co0.05Te3,75,456.02,1,0
Bi1.95Co0.05Te3,100,351.72,1,0
Bi1.95Co0.05Te3,125,287.8,1,0
Bi1.95Co0.05Te3,150,221.73,1,0
Bi1.95Co0.05Te3,175,183.3,1,0
Bi1.95Co0.05Te3,200,161.87,1,0
Bi1.95Co0.05Te3,225,125.53,1,0
Bi1.95Co0.05Te3,250,108.38,1,0
Bi1.95Co0.05Te3,275,95.45,1,0
Bi1.95Co0.05Te3,300,61.24,1,0
Bi1.9Co0.1Te3,25,613.61,1,0
Bi1.9Co0.1Te3,50,543.33,1,0
Bi1.9Co0.1Te3,75,436.9,1,0
Bi1.9Co0.1Te3,100,343.24,1,0
Bi1.9Co0.1Te3,125,275.02,1,0
Bi1.9Co0.1Te3,150,219.6,1,0
Bi1.9Co0.1Te3,175,179.03,1,0
Bi1.9Co0.1Te3,200,149.12,1,0
Bi1.9Co0.1Te3,225,123.42,1,0
Bi1.9Co0.1Te3,250,104.1,1,0
Bi1.9Co0.1Te3,275,91.18,1,0
Bi1.9Co0.1Te3,300,76.1,1,0
Bi2Te3,300,197.43,1,1
Bi2Te3,325,155.37,1,1
Bi2Te3,350,122.52,1,1
Bi2Te3,375,103.44,1,1
Bi2Te3,400,82.06,1,1
Bi2Te3,425,70.98,1,1
Bi2Te3,450,56.55,1,1
Bi2Te3,475,49.03,1,1
Bi2Te3,500,43.75,1,1
Bi2Te3,525,40.74,1,1
Bi1.97Co0.03Te3,300,277.99,1,1
Bi1.97Co0.03Te3,325,241.69,1,1
Bi1.97Co0.03Te3,350,214.58,1,1
Bi1.97Co0.03Te3,375,192.08,1,1
Bi1.97Co0.03Te3,400,170.69,1,1
Bi1.97Co0.03Te3,425,150.57,1,1
Bi1.97Co0.03Te3,450,138.29,1,1
Bi1.97Co0.03Te3,475,121.65,1,1
Bi1.97Co0.03Te3,500,110.49,1,1
Bi1.97Co0.03Te3,525,101.74,1,1
Bi1.94Co0.06Te3,300,283.78,1,1
Bi1.94Co0.06Te3,325,248.54,1,1
Bi1.94Co0.06Te3,350,221.41,1,1
Bi1.94Co0.06Te3,375,195.48,1,1
Bi1.94Co0.06Te3,400,173,1,1
Bi1.94Co0.06Te3,425,155.1,1,1
Bi1.94Co0.06Te3,450,140.52,1,1
Bi1.94Co0.06Te3,475,124.95,1,1
Bi1.94Co0.06Te3,500,108.25,1,1
Bi1.94Co0.06Te3,525,94.85,1,1
Bi1.91Co0.09Te3,300,331,1,1
Bi1.91Co0.09Te3,325,289.95,1,1
Bi1.91Co0.09Te3,350,249.12,1,1
Bi1.91Co0.09Te3,375,212.81,1,1
Bi1.91Co0.09Te3,400,190.25,1,1
Bi1.91Co0.09Te3,425,162.02,1,1
Bi1.91Co0.09Te3,450,137.2,1,1
Bi1.91Co0.09Te3,475,108.95,1,1
Bi1.91Co0.09Te3,500,96.78,1,1
Bi1.91Co0.09Te3,525,86.78,1,1
Bi1.88Co0.12Te3,300,302.2,1,1
Bi1.88Co0.12Te3,325,265.91,1,1
Bi1.88Co0.12Te3,350,235.26,1,1
Bi1.88Co0.12Te3,375,196.7,1,1
Bi1.88Co0.12Te3,400,169.53,1,1
Bi1.88Co0.12Te3,425,143.51,1,1
Bi1.88Co0.12Te3,450,120.98,1,1
Bi1.88Co0.12Te3,475,98.56,1,1
Bi1.88Co0.12Te3,500,84.07,1,1
Bi1.88Co0.12Te3,525,70.67,1,1
Bi2Te3,300,152.64,1,2
Bi2Te3,325,130.28,1,2
Bi2Te3,350,102.34,1,2
Bi2Te3,375,77.15,1,2
Bi2Te3,400,60.35,1,2
Bi2Te3,425,47.67,1,2
Bi2Te3,450,36.42,1,2
Bi2Te3,475,29.33,1,2
Bi2Te3,500,22.23,1,2
Bi2Te3,525,17.92,1,2
Bi1.97Co0.03Te3,300,230.4,1,2
Bi1.97Co0.03Te3,325,209.41,1,2
Bi1.97Co0.03Te3,350,191.22,1,2
Bi1.97Co0.03Te3,375,170.23,1,2
Bi1.97Co0.03Te3,400,150.63,1,2
Bi1.97Co0.03Te3,425,128.25,1,2
Bi1.97Co0.03Te3,450,115.59,1,2
Bi1.97Co0.03Te3,475,101.56,1,2
Bi1.97Co0.03Te3,500,87.51,1,2
Bi1.97Co0.03Te3,525,76.26,1,2
Bi1.94Co0.06Te3,300,212.36,1,2
Bi1.94Co0.06Te3,325,188.59,1,2
Bi1.94Co0.06Te3,350,169.01,1,2
Bi1.94Co0.06Te3,375,150.77,1,2
Bi1.94Co0.06Te3,400,135.36,1,2
Bi1.94Co0.06Te3,425,119.9,1,2
Bi1.94Co0.06Te3,450,103.05,1,2
Bi1.94Co0.06Te3,475,91.82,1,2
Bi1.94Co0.06Te3,500,83.34,1,2
