key,authors,short_author,title,journal,year,volume,pages_or_article,doi
Lee2018Ag,Jae Ki Lee; Ji Hui Son; Yong-Il Kim; Byungki Ryu; Byung Jin Cho; Sookyung Kim; Su-Dong Park; Min-Wook Oh,Lee et al.,Control of Carrier Concentration by Ag Doping in N-Type Bi2Te3 Based Compounds,Applied Sciences,2018,8,735,10.3390/app8050735
Wu2013CeYSm,Fang Wu; Hongzhang Song; Jianfeng Jia; Hu Xing,Wu et al.,"Effects of Ce, Y, and Sm doping on the thermoelectric properties of Bi2Te3 alloy",Progress in Natural Science: Materials International,2013,23,408-412,10.1016/j.pnsc.2013.06.007
Zhu2021PointDefect,Bin Zhu; Wu Wang; Juan Cui; Jiaqing He,Zhu et al.,Point Defect Engineering: Co-Doping Synergy Realizing Superior Performance in n-Type Bi2Te3 Thermoelectric Materials,Small,2021,17,2101328,10.1002/smll.202101328
Singha2022Co,P. Singha; Subarna Das; V. A. Kulbashinskii; V. G. Kytin; Sujay Chakravarty; A. K. Deb; S. Bandyopadhyay; Aritra Banerjee,Singha et al.,Enhancement of electron mobility and thermoelectric power factor of cobalt-doped n-type Bi2Te3,International Journal of Energy Research,2022,46,17029-17042,10.1002/er.8366
Park2023Co,Okmin Park; Minsu Heo; Se Woong Lee; Sang Jeong Park; Hyun Sik Kim; Sang il Kim,Park et al.,n-type thermoelectric performance in Co-doped Bi2Te3 polycrystalline alloys,Materials Science in Semiconductor Processing,2023,165,107694,10.1016/j.mssp.2023.107694
Li2022CuSe,Longbin Li; Jianchao Jia; Chaosheng Shi; Wei Zeng,Li et al.,Fine-Tuning Bi2Te3-Copper Selenide Alloys Enables an Efficient n-Type Thermoelectric Conversion,Molecules,2022,27,8183,10.3390/molecules27238183
Wu2018Cu,Hsin-Jay Wu; Wan-Ting Yen,Wu and Yen,High thermoelectric performance in Cu-doped Bi2Te3 with carrier-type transition,Acta Materialia,2018,157,33-41,10.1016/j.actamat.2018.07.022
Chen2025SFilm,Ning Chen; Dong Yang; Zi-Long Zhang; Jun-Hui Su; Wen-Yu Yang; Fu Li; Guang-Xing Liang; Jing-Ting Luo; Yue-Xing Chen; Zhuang-Hao Zheng,Chen et al.,Simultaneous enhancement of thermoelectric performance and mechanical flexibility in S-doped Bi2Te3 thin films,Applied Surface Science,2025,713,164306,10.1016/j.apsusc.2025.164306
Chen2022Modulation,Cheng-Lung Chen; Te-Hsien Wang; Zih-Gin Yu; Yohanes Hutabalian; Ranganayakulu K. Vankayala; Chao-Chih Chen; Wen-Pin Hsieh; Horng-Tay Jeng; Da-Hua Wei; Yang-Yuan Chen,Chen et al.,Modulation Doping Enables Ultrahigh Power Factor and Thermoelectric ZT in n-Type Bi2Te2.7Se0.3,Advanced Science,2022,9,2201353,10.1002/advs.202201353
Rahman2024FeTe2,Jamil Ur Rahman; Woo Hyun Nam; Yong-Jae Jung; Jong Ho Won; Jong-Min Oh; Nguyen Van Du; Gul Rahman; Víctor M. García-Suárez; Ran He; Kornelius Nielsch; Jung Young Cho; Won-Seon Seo; Jong Wook Roh; Sang-il Kim; Soonil Lee; Kyu Hyoung Lee; Hyun Sik Kim; Weon Ho Shin,Rahman et al.,Realizing High Thermoelectric Performance in n-Type Se-Free Bi2Te3 Materials by Spontaneous Incorporation of FeTe2 Nanoinclusions,Energy & Environmental Materials,2024,7,e12663,10.1002/eem2.12663
Yaprintsev2018LuTm,Maxim Yaprintsev; Roman Lyubushkin; Oxana Soklakova; Oleg Ivanov,Yaprintsev et al.,Effects of Lu and Tm Doping on Thermoelectric Properties of Bi2Te3 Compound,Journal of Electronic Materials,2018,47,1362-1370,10.1007/s11664-017-5940-8
Liu2011SiC,Da-Wei Liu; Jing-Feng Li; Chen Chen; B.-P. Zhang,Liu et al.,Effects of SiC Nanodispersion on the Thermoelectric Properties of p-Type and n-Type Bi2Te3-Based Alloys,Journal of Electronic Materials,2011,40,992-998,10.1007/s11664-010-1476-x
Saberi2022Review,Yasaman Saberi; Seyed Abdolkarim Sajjadi,Saberi and Sajjadi,A comprehensive review on the effects of doping process on the thermoelectric properties of Bi2Te3 based alloys,Journal of Alloys and Compounds,2022,904,163918,10.1016/j.jallcom.2022.163918
Yen2023CuChalcogenide,Wan-Ting Yen; Kuang-Kuo Wang; Hsin-Jay Wu,Yen et al.,Hybridization of n-type Bi2Te3 crystals with liquid-like copper chalcogenide elicits record-high thermoelectric performance,Materials Today Physics,2023,34,101065,10.1016/j.mtphys.2023.101065
An2019Cu,Juhee An; Mi-Kyung Han; Sung-Jin Kim,An et al.,Synthesis of heavily Cu-doped Bi2Te3 nanoparticles and their thermoelectric properties,Journal of Solid State Chemistry,2019,270,407-412,10.1016/j.jssc.2018.11.024
Meang2025HighPressure,Eun Ji Meang; Ye Ji Shin; Kwan Ho Park; Jaehan Chung; Hyunji Kim; Ho Seong Lee,Meang et al.,Scalable synthesis and enhanced thermoelectric properties of Cu-doped and Se-substituted Bi2Te3-based materials via high-pressure sintering,Materials Today Communications,2025,43,111830,10.1016/j.mtcomm.2025.111830
Liu2025Lattice,Dongrui Liu; Shulin Bai; Yi Wen; Jiayi Peng; Shibo Liu; Haonan Shi; Yichen Li; Tao Hong; Huiqiang Liang; Yongxin Qin; Lizhong Su; Xin Qian; Dongyang Wang; Xiang Gao; Zhihai Ding; Qian Cao; Qing Tan; Bingchao Qin; Li-Dong Zhao,Liu et al.,Lattice plainification and band engineering lead to high thermoelectric cooling and power generation in n-type Bi2Te3 with mass production,National Science Review,2025,12,nwae448,10.1093/nsr/nwae448
Cha2019Cu,Joonil Cha; Chongjian Zhou; Sung-Pyo Cho; Sang Hyun Park; In Chung,Cha et al.,Ultrahigh Power Factor and Electron Mobility in n-Type Bi2Te3-x%Cu Stabilized under Excess Te Condition,ACS Applied Materials & Interfaces,2019,11,30999-31008,10.1021/acsami.9b10394
Wu2017I,Fang Wu; Wei Wang; Xing Hu; Mingsheng Tang,Wu et al.,Thermoelectric properties of I-doped n-type Bi2Te3-based material prepared by hydrothermal and subsequent hot pressing,Progress in Natural Science: Materials International,2017,27,203-207,10.1016/j.pnsc.2017.02.009
Shi2020SeLu,Xiaolei Shi; Xin Ai; Qihao Zhang; Xiaofang Lu; Shijia Gu; Li Su; Lianjun Wang; Wan Jiang,Shi et al.,Enhanced thermoelectric properties of hydrothermally synthesized n-type Se&Lu-codoped Bi2Te3,Journal of Advanced Ceramics,2020,9,424-431,10.1007/s40145-020-0382-9
Kim2021PointDefects,Byeong Geun Kim; Kang Hyun Seo; Chang-Hyun Lim; Soon-Mok Choi,Kim et al.,Different point defects originated from dissimilar deposition conditions in n-type Cu-doped Bi2Te3 films; crystal structure and thermoelectric property depending on Te-vacancy concentration,Journal of Materials Research and Technology,2021,15,606-613,10.1016/j.jmrt.2021.07.147
Byun2019AlkalineEarth,Sejin Byun; Joonil Cha; Chongjian Zhou; Yong Kyu Lee; Hyungseok Lee; Sang Hyun Park; Won Bo Lee; In Chung,Byun et al.,Unusual n-type thermoelectric properties of Bi2Te3 doped with divalent alkali earth metals,Journal of Solid State Chemistry,2019,269,396-400,10.1016/j.jssc.2018.10.012
