source_id,doi,title,pdf_url,local_pdf,enabled,notes
Lee2018Ag,10.3390/app8050735,Control of Carrier Concentration by Ag Doping in N-Type Bi2Te3 Based Compounds,,,true,
Wu2013CeYSm,10.1016/j.pnsc.2013.06.007,"Effects of Ce, Y, and Sm doping on the thermoelectric properties of Bi2Te3 alloy",,,true,
Zhu2021PointDefect,10.1002/smll.202101328,Point Defect Engineering: Co-Doping Synergy Realizing Superior Performance in n-Type Bi2Te3 Thermoelectric Materials,,,true,
Singha2022Co,10.1002/er.8366,Enhancement of electron mobility and thermoelectric power factor of cobalt-doped n-type Bi2Te3,,,true,
Park2023Co,10.1016/j.mssp.2023.107694,n-type thermoelectric performance in Co-doped Bi2Te3 polycrystalline alloys,,,true,
Li2022CuSe,10.3390/molecules27238183,Fine-Tuning Bi2Te3-Copper Selenide Alloys Enables an Efficient n-Type Thermoelectric Conversion,,,true,
Wu2018Cu,10.1016/j.actamat.2018.07.022,High thermoelectric performance in Cu-doped Bi2Te3 with carrier-type transition,,,true,
Chen2025SFilm,10.1016/j.apsusc.2025.164306,Simultaneous enhancement of thermoelectric performance and mechanical flexibility in S-doped Bi2Te3 thin films,,,true,
Chen2022Modulation,10.1002/advs.202201353,Modulation Doping Enables Ultrahigh Power Factor and Thermoelectric ZT in n-Type Bi2Te2.7Se0.3,,,true,
Rahman2024FeTe2,10.1002/eem2.12663,Realizing High Thermoelectric Performance in n-Type Se-Free Bi2Te3 Materials by Spontaneous Incorporation of FeTe2 Nanoinclusions,,,true,
Yaprintsev2018LuTm,10.1007/s11664-017-5940-8,Effects of Lu and Tm Doping on Thermoelectric Properties of Bi2Te3 Compound,,,true,
Liu2011SiC,10.1007/s11664-010-1476-x,Effects of SiC Nanodispersion on the Thermoelectric Properties of p-Type and n-Type Bi2Te3-Based Alloys,,,true,
Saberi2022Review,10.1016/j.jallcom.2022.163918,A comprehensive review on the effects of doping process on the thermoelectric properties of Bi2Te3 based alloys,,,true,Review paper; verify every value against its primary cited source before approval.
Yen2023CuChalcogenide,10.1016/j.mtphys.2023.101065,Hybridization of n-type Bi2Te3 crystals with liquid-like copper chalcogenide elicits record-high thermoelectric performance,,,true,
An2019Cu,10.1016/j.jssc.2018.11.024,Synthesis of heavily Cu-doped Bi2Te3 nanoparticles and their thermoelectric properties,,,true,
Meang2025HighPressure,10.1016/j.mtcomm.2025.111830,Scalable synthesis and enhanced thermoelectric properties of Cu-doped and Se-substituted Bi2Te3-based materials via high-pressure sintering,,,true,
Liu2025Lattice,10.1093/nsr/nwae448,Lattice plainification and band engineering lead to high thermoelectric cooling and power generation in n-type Bi2Te3 with mass production,,,true,
Cha2019Cu,10.1021/acsami.9b10394,Ultrahigh Power Factor and Electron Mobility in N-Type Bi2Te3-x%Cu Stabilized under Excess Te Condition,,,true,
Wu2017I,10.1016/j.pnsc.2017.02.009,Thermoelectric properties of I-doped n-type Bi2Te3-based material prepared by hydrothermal and subsequent hot pressing,,,true,
Shi2020SeLu,10.1007/s40145-020-0382-9,Enhanced thermoelectric properties of hydrothermally synthesized n-type Se&Lu-codoped Bi2Te3,,,true,
Kim2021PointDefects,10.1016/j.jmrt.2021.07.147,Different point defects originated from dissimilar deposition conditions in n-type Cu-doped Bi2Te3 films; crystal structure and thermoelectric property depending on Te-vacancy concentration,,,true,
Byun2019AlkalineEarth,10.1016/j.jssc.2018.10.012,Unusual n-type thermoelectric properties of Bi2Te3 doped with divalent alkali earth metals,,,true,
